Stock,Latest action,Price/level,Summary,First suggested,Last suggested,Times suggested (days),Action history,All dates
Laurus Labs,Hold,,Never sell; strong pharma name.,2026-01-29,2026-06-30,12,"Buy x6, Hold x5, Accumulate x1","2026-01-29,2026-02-10,2026-02-13,2026-03-19,2026-04-08,2026-04-30,2026-05-12,2026-05-22,2026-06-01,2026-06-04,2026-06-16,2026-06-30"
Infosys,Buy,,Buy with a long-term view.,2026-02-13,2026-06-30,7,"Buy x3, Sell x2, Hold x2","2026-02-13,2026-02-17,2026-04-13,2026-04-15,2026-04-30,2026-05-13,2026-06-30"
Bajaj Housing Finance,Buy,,Long-term good returns as loan book builds.,2026-02-13,2026-06-30,5,"Hold x1, Accumulate x1, Wait x1, Sell x1, Buy x1","2026-02-13,2026-03-25,2026-04-06,2026-06-16,2026-06-30"
SBI Cards,Sell,exit 630-640 on relief rally,Weak since listing; switch to parent SBI.,2026-06-05,2026-06-30,2,"Reduce x1, Sell x1","2026-06-05,2026-06-30"
Rainbow Children's Medicare,Accumulate,1275-1300 (on dips),Good long-term bet but won't outperform hugely; buy on correction.,2026-06-30,2026-06-30,1,Accumulate x1,2026-06-30
Capital Infra Trust,Accumulate,,High-yield InvIT income play; review every 6 months.,2026-06-30,2026-06-30,1,Accumulate x1,2026-06-30
PG InvIT,Buy,,"Second income InvIT to diversify into (~12% yield, quarterly).",2026-06-30,2026-06-30,1,Buy x1,2026-06-30
Enter Technologies,Add,on dips after Q1 results,Valuations stretched but strong momentum; add on dips.,2026-06-30,2026-06-30,1,Add x1,2026-06-30
Aditya Infotech,Watch,~120 PE; wait for dips,Extremely strong chart but too expensive to chase now.,2026-06-30,2026-06-30,1,Watch x1,2026-06-30
Just Dial,Sell,exit 580-590 in rallies,"Ambani-owned, weak counter with AI/quick-commerce headwinds.",2026-06-30,2026-06-30,1,Sell x1,2026-06-30
Infollion Research Services,Avoid,,Micro SME stock near 52-week low; not for small investors.,2026-06-30,2026-06-30,1,Avoid x1,2026-06-30
KCP Sugar,Sell,exit in rallies,Sugar sector weak; avoidable.,2026-06-30,2026-06-30,1,Sell x1,2026-06-30
Hindustan Zinc,Watch,,Fresh shorts building but possibly a temporary bottom,2026-04-20,2026-06-29,2,"Hold x1, Watch x1","2026-04-20,2026-06-29"
IndiGo (InterGlobe Aviation),Watch,,Speculative longs building on lower crude / ATF hopes,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
Hero MotoCorp,Watch,,Auto-sales numbers due this week,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
Bajaj Auto,Watch,,Auto-sales numbers due this week,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
National Aluminium (NALCO),Watch,,Fresh shorts building but possibly a temporary bottom,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
HDFC Life Insurance,Watch,,Conviction delivery-based buying visible,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
Nykaa (FSN E-Commerce),Watch,,Conviction delivery-based buying visible,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
Alkem Laboratories,Watch,,Conviction delivery-based buying visible,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
ICICI Lombard General Insurance,Watch,,Conviction delivery-based buying visible,2026-06-29,2026-06-29,1,Watch x1,2026-06-29
Vimta Labs,Hold,,"Hold; average only after Q results, not now",2026-03-18,2026-06-25,5,"Accumulate x2, Hold x2, Buy x1","2026-03-18,2026-05-06,2026-05-19,2026-06-04,2026-06-25"
Avanti Feeds,Hold,1040-1050 for safe zone,"Hold, don't sell at current levels",2026-02-13,2026-06-25,3,"Add x1, Watch x1, Hold x1","2026-02-13,2026-02-24,2026-06-25"
Bank of India,Hold,,Hold all banks; matter of time,2026-03-19,2026-06-25,2,"Buy x1, Hold x1","2026-03-19,2026-06-25"
Bharat Electronics (BEL),Add,,"Add on every decline, even now",2026-04-06,2026-06-25,2,"Buy on dips x1, Add x1","2026-04-06,2026-06-25"
Devyani International,Sell,,Exit on rallies; not a stock to average,2026-06-25,2026-06-25,1,Sell x1,2026-06-25
Fairchem Organics,Buy,,Recently active and strong in chemicals,2026-06-25,2026-06-25,1,Buy x1,2026-06-25
Himadri Speciality Chemical,Buy,,"Opportunity; will also perform, may take time",2026-06-25,2026-06-25,1,Buy x1,2026-06-25
Igarashi Motors,Watch,,"Auto-component micro-motors; wait for results, don't rush",2026-06-22,2026-06-22,1,Watch x1,2026-06-22
Ind Swift Labs,Watch,stop loss near 158-159; else wait till ~160,Near 52-week high after doubling; wait for results or buy with stop only if daring,2026-06-22,2026-06-22,1,Watch x1,2026-06-22
Olectra Greentech,Buy,,"Multibagger / 2-3 bagger potential; capacity expansion, electric trucks, BYD battery tie-up, old-bus replacement.",2026-02-06,2026-06-19,4,"Hold x2, Buy x2","2026-02-06,2026-03-16,2026-05-11,2026-06-19"
LIC,Watch,460-470 (near-medium term),"NSE stake ~Rs 5,400 cr (=10% of LIC mkt cap); signs of +10% once NSE issue factors into NAV.",2026-02-12,2026-06-19,3,"Hold x1, Accumulate x1, Watch x1","2026-02-12,2026-05-22,2026-06-19"
Mangalam Organics,Hold,,Not a great/wealth-creating stock; rises seasonally then falls. Hold.,2026-06-19,2026-06-19,1,Hold x1,2026-06-19
Chennai Petroleum,Avoid,"~1,100",Only for positional trading; IOC/BPCL/HPCL are better bets for the future.,2026-06-19,2026-06-19,1,Avoid x1,2026-06-19
Moschip,Avoid,,"Don't buy large quantity now; range-bound, underperforming. Wait for June-end results.",2026-06-19,2026-06-19,1,Avoid x1,2026-06-19
IOC,Hold,,On-and-off performer; dividend play. Don't enter with great hopes.,2026-06-19,2026-06-19,1,Hold x1,2026-06-19
Vintage Coffee,Hold,~150,"Speculative but fundamentally fine; Rs 10 paid-up, operator-driven. Hold; buying fresh is a gamble.",2026-06-19,2026-06-19,1,Hold x1,2026-06-19
Canara Bank,Hold,125-145,"Narrow 125-145 band at ~6.5 PE; needs patience, should rally and cross 160 again.",2026-02-11,2026-06-18,9,"Add x3, Hold x3, Accumulate x2, Buy on dips x1","2026-02-11,2026-02-20,2026-04-06,2026-04-17,2026-04-29,2026-04-30,2026-05-20,2026-06-01,2026-06-18"
Natco Pharma,Accumulate,"present levels (post-correction from 1,100+)",Accumulate from current levels without doubt; market will absorb the post-result weakness.,2026-02-02,2026-06-18,8,"Hold x3, Buy x2, Accumulate x2, Watch x1","2026-02-02,2026-02-06,2026-02-12,2026-03-19,2026-04-28,2026-05-21,2026-06-01,2026-06-18"
Fractal Analytics,Hold,~975,"AI play; hold near 975, can go to 1,350-1,400 if June results are good.",2026-04-30,2026-06-18,3,"Hold x2, Watch x1","2026-04-30,2026-05-20,2026-06-18"
Groww,Hold,~200,"Hold long-term; given as idea ~220, now ~200; expect volatility, don't panic.",2026-02-09,2026-06-18,2,"Buy x1, Hold x1","2026-02-09,2026-06-18"
Praj Industries,Sell,~400,"Exit on rallies; selling appears on every bounce, exit near 400.",2026-04-20,2026-06-18,2,"Buy x1, Sell x1","2026-04-20,2026-06-18"
Ambuja Cements,Hold,,"In Adani fold; cement turning two-player game with pricing power, better positioned.",2026-04-28,2026-06-18,2,"Buy x1, Hold x1","2026-04-28,2026-06-18"
Blue Spring Enterprises,Avoid,,"Speculative recent listing, hard to judge; would not take big risk.",2026-06-18,2026-06-18,1,Avoid x1,2026-06-18
Tejas Networks,Hold,trailing stop ~160,"Worst quarter likely behind; higher tops/bottoms, chart near all-time levels; buy on declines or hold with trailing stop ~160.",2026-02-06,2026-06-17,6,"Hold x5, Avoid x1","2026-02-06,2026-02-18,2026-03-04,2026-03-27,2026-04-20,2026-06-17"
NTPC,Buy,~40-55 (on dips),"Power generation 'no fancy' but it's the turn; price-maker for the future, get price right, 5-7 month view.",2026-02-20,2026-06-17,5,"Buy x4, Accumulate x1","2026-02-20,2026-04-29,2026-05-11,2026-05-26,2026-06-17"
PG Electroplast,Hold,,"5-star business and stock with lots of momentum; hold long term, act if the level breaks.",2026-03-25,2026-06-17,5,"Hold x4, Buy (medium/long-term only) x1","2026-03-25,2026-04-06,2026-04-09,2026-05-27,2026-06-17"
VA Tech Wabag,Hold,"~1,770 (trail ~1,600)","Global water-management leader, most patents; recommended from ~1,500; 2-3 yr could give multi-mega returns, be patient.",2026-02-25,2026-06-17,2,"Buy x1, Hold x1","2026-02-25,2026-06-17"
Affle 3i,Hold,,Very long-term view; momentum present but results flattening.,2026-06-17,2026-06-17,1,Hold x1,2026-06-17
BLS International,Hold,,Long-term hold.,2026-06-17,2026-06-17,1,Hold x1,2026-06-17
Aster DM Healthcare,Hold,,Hold (hospital stocks).,2026-06-17,2026-06-17,1,Hold x1,2026-06-17
KIMS,Hold,,Hold (hospital stocks).,2026-06-17,2026-06-17,1,Hold x1,2026-06-17
Fortis Healthcare,Hold,,Hold (hospital stocks).,2026-06-17,2026-06-17,1,Hold x1,2026-06-17
Anoop Engineering,Buy,staggered,"Special situation; accumulate at staggered levels, participate.",2026-06-17,2026-06-17,1,Buy x1,2026-06-17
Solar Industries,Hold,"~17,000 (high ~18,850)",Decent but fully priced/high; down ~30%; defence-type consolidation and profit-booking.,2026-06-17,2026-06-17,1,Hold x1,2026-06-17
CG Power,Add,"target ~1,500","Add slowly; in consolidation. Major beneficiary of the Gujarat semiconductor plant; can rally easily to ~1,500 long-term.",2026-01-29,2026-06-16,6,"Hold x3, Accumulate x1, Buy x1, Add x1","2026-01-29,2026-02-11,2026-02-13,2026-04-01,2026-06-01,2026-06-16"
BSE,Hold,,Hold/buy small for long term; some profit booking possible once NSE also lists.,2026-02-12,2026-06-16,4,"Hold x2, Buy x1, Avoid x1","2026-02-12,2026-03-05,2026-04-09,2026-06-16"
Standard Glass Lining,Buy,,"Preferred over HLE Glascoat; risen well but entry still possible, good results likely ahead.",2026-01-30,2026-06-16,3,"Watch x1, Sell x1, Buy x1","2026-01-30,2026-05-21,2026-06-16"
IDBI Bank,Add,<102 (in loss),Add now; crashed on divestment-delay rumours but improving daily. Sale due this FY -> stock turns 100-plus.,2026-03-05,2026-06-16,3,"Hold x1, Add/Average x1, Add x1","2026-03-05,2026-05-22,2026-06-16"
Amara Raja Batteries,Buy,,Buy with fresh capital; acceptable destination if exiting Bajaj Housing Finance.,2026-04-07,2026-06-16,3,"Hold x2, Buy x1","2026-04-07,2026-05-27,2026-06-16"
MCX,Hold,,Hold/buy small for long term; some profit booking possible once NSE also lists.,2026-04-17,2026-06-16,3,"Buy on dips x1, Watch x1, Hold x1","2026-04-17,2026-06-01,2026-06-16"
Yatharth Hospitals,Buy,,Buy; accumulate slowly alongside CG Power.,2026-02-12,2026-06-16,2,"Hold x1, Buy x1","2026-02-12,2026-06-16"
CP Plus / Aditya Infotech,Watch,"~3,700",Do NOT buy at current levels; wait for a significant correction after the unusual rally.,2026-06-16,2026-06-16,1,Watch x1,2026-06-16
Lemon Tree,Hold,~130-135,"Sector-wide weakness, high ~80 P/E; stuck holders may exit 130-135; this quarter could be better.",2026-06-16,2026-06-16,1,Hold x1,2026-06-16
Cupid Ltd,Accumulate,~84 (entry),Adding OK (bought at 84 is fine); but do not buy at all-time high (~200 P/E) and book partial profits.,2026-06-16,2026-06-16,1,Accumulate x1,2026-06-16
HLE Glascoat,Avoid,~385-389,"Fully priced; already discounted the good results, limited steam. Prefer Standard Glass instead.",2026-06-16,2026-06-16,1,Avoid x1,2026-06-16
LG Electronics (LG India),Hold,"target 2,000+","Hold long term; Sri City mega plant completing ~next year, should cross 2,000+.",2026-06-16,2026-06-16,1,Hold x1,2026-06-16
Vedanta demerger entities,Watch,,Watchlist; price discovery ongoing (Aluminium/Power/Oil&Gas/Iron&Steel) — be cautious.,2026-06-16,2026-06-16,1,Watch x1,2026-06-16
NCC,Hold,140-150,"Near bottom, will consolidate 140-150; partial ~25% averaging acceptable.",2026-02-09,2026-06-09,8,"Hold x5, Accumulate x2, Buy x1","2026-02-09,2026-02-17,2026-03-18,2026-04-09,2026-04-29,2026-05-21,2026-05-27,2026-06-09"
RVNL,Sell,~305-310,"Exit into rallies; railway up-cycle over, made a new low.",2026-03-02,2026-06-09,3,"Sell x2, Buy (medium/long-term only) x1","2026-03-02,2026-04-06,2026-06-09"
D Development,Book Profit,,"Book some if holding large quantity, otherwise continue holding.",2026-06-08,2026-06-09,2,"Hold x1, Book Profit x1","2026-06-08,2026-06-09"
JP Associates,Avoid,,"NCLT/insolvency name; avoid even while trading, may get delisted.",2026-06-09,2026-06-09,1,Avoid x1,2026-06-09
Pace Digitek,Hold,~180,"Sunrise BESS segment but March result weak; watch execution, be careful.",2026-06-09,2026-06-09,1,Hold x1,2026-06-09
Nephro Care,Hold,,"Hold with trailing stop-loss; dialysis leader, could become four-figure.",2026-06-09,2026-06-09,1,Hold x1,2026-06-09
Craftsman Automation,Hold,"~8,600 (trail)","Consolidating after sharp run; trailing stop ~8,600, fresh rally needs >9,200.",2026-06-09,2026-06-09,1,Hold x1,2026-06-09
Apollo Micro,Hold,~195,"In good profit; FOC or partial ~25% booking, decide exit individually.",2026-06-09,2026-06-09,1,Hold x1,2026-06-09
ITI,Hold,,"In good profit; FOC or partial ~25% booking, decide exit individually.",2026-06-09,2026-06-09,1,Hold x1,2026-06-09
Tatva Chintan,Hold,"~1,072","In good profit; FOC or partial ~25% booking, decide exit individually.",2026-06-09,2026-06-09,1,Hold x1,2026-06-09
PNB Housing Finance,Hold,~700,"In good profit; FOC or partial ~25% booking, decide exit individually.",2026-06-09,2026-06-09,1,Hold x1,2026-06-09
Tata Steel (Jun 210 CE),Hold,940 paise,"Steel resilient; monthly call still has time, hold as of now.",2026-06-09,2026-06-09,1,Hold x1,2026-06-09
Diffusion Engineers,Hold,~330,"+30%; keep trailing stop, potential to rise further.",2026-06-09,2026-06-09,1,Hold x1,2026-06-09
Jamna Auto,Hold,,"+30%; keep trailing stop, given as an investment idea.",2026-06-09,2026-06-09,1,Hold x1,2026-06-09
Idea Forge,Hold,~960,Defence buying strong; caution chasing after big rally from 372 (Apr 1).,2026-06-09,2026-06-09,1,Hold x1,2026-06-09
Sai Parenterals,Buy,buy on dips,"New listing never below listing price; emerging pharma growth story that rises steadily, buy on dips.",2026-04-09,2026-06-08,4,"Buy x2, Hold x1, Add x1","2026-04-09,2026-05-12,2026-06-01,2026-06-08"
Hotel Leela Ventures,Avoid,~10,Penny stock with perpetual debt-restructuring talk that never happens; only as a small dark-horse bet.,2026-06-08,2026-06-08,1,Avoid x1,2026-06-08
Veeto Switchgears,Hold,~52-wk high,Good recent price action; resilient near 52-week high even on a weak day. Hold with trailing stop-loss.,2026-06-08,2026-06-08,1,Hold x1,2026-06-08
Visakha Industries,Hold,SL ~60,"Post-result price action after a long weak phase; hold with stop ~60, turnaround must continue.",2026-06-08,2026-06-08,1,Hold x1,2026-06-08
Affordable Robotics,Avoid,~170,"Good robotics theme but financials suspect, promoters selling, lower tops/bottoms; wait, don't buy now (hold if already in).",2026-06-08,2026-06-08,1,Avoid x1,2026-06-08
Epigral,Hold,"~1,130","Chemicals; good March result but high expectations led to post-result correction; value here, don't book loss hastily.",2026-06-08,2026-06-08,1,Hold x1,2026-06-08
Gujarat Pipavav Port (GPPL),Hold,~180,"Competes with the Ambanis in ports/shipbuilding; showed strength on recent news. Hold, no immediate fresh buying.",2026-06-08,2026-06-08,1,Hold x1,2026-06-08
Suzlon,Hold,,"Holdable ~1 year as environment turns positive, but high-risk; use a trailing stop-loss.",2026-02-18,2026-06-05,8,"Hold x6, Accumulate x1, Buy x1","2026-02-18,2026-03-05,2026-03-18,2026-04-01,2026-04-17,2026-06-01,2026-06-03,2026-06-05"
TCS,Hold,,"Large-cap; long-term/patience, hold (or rotate to mid/small-caps if concerned).",2026-02-12,2026-06-05,6,"Sell x2, Hold x2, Buy x2","2026-02-12,2026-02-13,2026-04-09,2026-04-13,2026-04-20,2026-06-05"
ITC,Hold,,Hold.,2026-02-12,2026-06-05,4,"Hold x2, Watch x1, Accumulate x1","2026-02-12,2026-04-16,2026-05-22,2026-06-05"
VST Industries,Hold,,"Dull counter (Damani stake); cigarette + rising non-cigarette income, but stays range-bound, no big gains.",2026-04-17,2026-06-05,2,Hold x2,"2026-04-17,2026-06-05"
Aptus Value Housing,Hold,,Stable / dividend play; being a housing-finance company it won't give multibagger or big gains. Be cautious as rates change.,2026-06-05,2026-06-05,1,Hold x1,2026-06-05
Flair Writing Industries,Avoid,,"Not a great stock; poor past returns, writing instruments out of fashion. Avoid; exit on rallies.",2026-06-05,2026-06-05,1,Avoid x1,2026-06-05
KPI Green,Hold,,Renewable-space stock; a bit dull recently but definitely hold.,2026-06-05,2026-06-05,1,Hold x1,2026-06-05
Waaree,Hold,,Renewable-space stock; dull recently but hold.,2026-06-05,2026-06-05,1,Hold x1,2026-06-05
Reliance (RIL),Hold,,"Large-cap; hold only with a very long-term outlook, else shift to mid/small-caps.",2026-06-05,2026-06-05,1,Hold x1,2026-06-05
HCL Technologies,Hold,,"Large-cap; long-term/patience, hold.",2026-06-05,2026-06-05,1,Hold x1,2026-06-05
L&T,Hold,,"Large-cap; long-term/patience, hold.",2026-06-05,2026-06-05,1,Hold x1,2026-06-05
Idea Cellular (Vodafone Idea),Hold,,"Holdable ~1 year as environment turns positive, but high-risk; use a trailing stop-loss.",2026-06-05,2026-06-05,1,Hold x1,2026-06-05
HUL,Hold,,Hold.,2026-06-05,2026-06-05,1,Hold x1,2026-06-05
Heritage Foods,Accumulate,~322,"Milk prices rising, ice-cream season strong",2026-02-09,2026-06-04,6,"Accumulate x3, Hold x2, Buy x1","2026-02-09,2026-02-13,2026-02-20,2026-02-26,2026-02-27,2026-06-04"
Genus Power,Hold,may attempt 400 again,Smart-meter story; expect only steady returns,2026-02-18,2026-06-04,2,Hold x2,"2026-02-18,2026-06-04"
Premier Energies,Hold,,Hold if already bought; no fresh buying,2026-03-25,2026-06-04,2,Hold x2,"2026-03-25,2026-06-04"
Poly Medicure (Polymed),Hold,exit on rally to 510-520,Best-in-class medical equipment but turned speculative near 52-week low,2026-06-04,2026-06-04,1,Hold x1,2026-06-04
Protean,Hold,,Not a great stock; hold existing position,2026-06-04,2026-06-04,1,Hold x1,2026-06-04
Ramky,Hold,,Not a great stock; hold existing position,2026-06-04,2026-06-04,1,Hold x1,2026-06-04
ASMS (Bartronics),Avoid,,"Only ever a 'dark horse' on volumes, never a recommendation; tainted group",2026-06-04,2026-06-04,1,Avoid x1,2026-06-04
Jyoti CNC Automation,Avoid,exit rallies 675-700; reasonable buy 360-400,Overpriced since listing; heavy distribution,2026-06-04,2026-06-04,1,Avoid x1,2026-06-04
Bata India,Avoid,~650-660; near 52-week low,"Won't buy despite discount; competition up, weak results",2026-03-24,2026-06-03,2,Avoid x2,"2026-03-24,2026-06-03"
Mass Chip (Maschip),Hold,Bought ~215; resistance 250,Not for short term; long-term hold with good potential,2026-06-03,2026-06-03,1,Hold x1,2026-06-03
Good Luck India,Hold,"Bought ~900; was 1,400+, now ~1,300",Hold long term; book partial profits and trail stop if bought lower,2026-06-03,2026-06-03,1,Hold x1,2026-06-03
Honeywell Automation,Hold,"Bought 37,000",Not a stock to watch daily; hold high-priced quality name,2026-06-03,2026-06-03,1,Hold x1,2026-06-03
MRF,Hold,~6% loss,Put in the locker; review after a year or two,2026-06-03,2026-06-03,1,Hold x1,2026-06-03
Cello World,Avoid,Could touch 250,"Can't withstand competition; near 52-week low, could fall to 250",2026-06-03,2026-06-03,1,Avoid x1,2026-06-03
Adani Power,Buy,,Good power-generation company (compare with JSW Energy); invest equally with CG Power.,2026-02-09,2026-06-01,4,"Hold x2, Buy x2","2026-02-09,2026-02-25,2026-04-29,2026-06-01"
Siemens Energy,Buy,"~3,700 (on dips)","Strong run, lots of potential; buy on dips or SIP-style.",2026-02-12,2026-06-01,4,"Add x2, Sell x1, Buy x1","2026-02-12,2026-04-29,2026-05-11,2026-06-01"
SMS Pharma,Buy,,Second choice; moderate results on recent events but attractive after the correction.,2026-02-12,2026-06-01,4,"Buy x2, Accumulate x1, Add x1","2026-02-12,2026-02-26,2026-05-21,2026-06-01"
Ashok Leyland,Hold,~157,"Strong March results, one of highest-ever profits; corrected from 200+.",2026-04-06,2026-06-01,4,"Hold x2, Wait x1, Buy on dips x1","2026-04-06,2026-04-10,2026-04-30,2026-06-01"
SBI,Accumulate,<965,"Corrected from 1200+ to below 965; accumulate slowly, wait for RBI policy.",2026-04-07,2026-06-01,4,"Buy x2, Buy on dips x1, Accumulate x1","2026-04-07,2026-04-21,2026-05-22,2026-06-01"
NBCC,Hold,>100,Trading stock; sustaining above 100 could run to ~115-116; not cheap (~40 PE).,2026-03-05,2026-06-01,3,Hold x3,"2026-03-05,2026-03-18,2026-06-01"
Gold & Silver (incl. ETFs),Sell,,Exit even ETFs; a 10-15% correction is overdue/on the cards.,2026-06-01,2026-06-01,1,Sell x1,2026-06-01
PTC Industries,Avoid,,"Buy-on-rumour/sell-on-news; news is out, wait for a correction (was 15,000-16,000 for ~6 months).",2026-06-01,2026-06-01,1,Avoid x1,2026-06-01
Oword Pharma,Avoid,,Wait for a correction; don't enter now.,2026-06-01,2026-06-01,1,Avoid x1,2026-06-01
Campus Activewear,Sell,,"A de-rater, not a great choice; use the recent bounce to exit.",2026-06-01,2026-06-01,1,Sell x1,2026-06-01
Sai Silks (Kalamandir),Avoid,,Six-month festival/wedding cycle; better retail names exist.,2026-06-01,2026-06-01,1,Avoid x1,2026-06-01
Emmvee Photovoltaic,Watch,,"Gave unusual returns recently; wait for a correction, don't chase.",2026-06-01,2026-06-01,1,Watch x1,2026-06-01
CDSL,Hold,,Medium term; will recover.,2026-02-10,2026-05-27,5,"Hold x2, Sell x1, Avoid x1, Buy x1","2026-02-10,2026-02-17,2026-03-04,2026-05-25,2026-05-27"
Kfin Technologies,Hold,850-900,"Consolidating 850-900; market-dependent, recovers as markets improve.",2026-02-10,2026-05-27,2,Hold x2,"2026-02-10,2026-05-27"
Happiest Minds,Watch,,"Heavy AI commentary last quarter; if this quarter better and holds higher bottom, could rally.",2026-02-26,2026-05-27,2,"Avoid x1, Watch x1","2026-02-26,2026-05-27"
Power Mech Projects,Watch,"~2,500 (fully priced)","Already discounted before results; fully priced; lumpy execution, needs margin improvement. Don't chase.",2026-02-27,2026-05-27,2,"Buy x1, Watch x1","2026-02-27,2026-05-27"
Jio Finance,Hold,~370,Hold for the long term.,2026-04-29,2026-05-27,2,"Buy x1, Hold x1","2026-04-29,2026-05-27"
Patanjali Foods,Buy,SL ~450,Positional F&O trade for the June series only; stop-loss ~450 per risk profile.,2026-05-27,2026-05-27,1,Buy x1,2026-05-27
AB Capital,Buy,SL ~350,Positional F&O trade for the June series only; stop-loss ~350.,2026-05-27,2026-05-27,1,Buy x1,2026-05-27
Hyundai Motor India,Sell,,Underperforming (flat launches/numbers); switch to Maruti/Tata Motors/M&M; stay only with extreme long-term view.,2026-05-27,2026-05-27,1,Sell x1,2026-05-27
Ram Ratna Wires,Book Profit,~515,"Spectacular numbers (top line +40% QoQ) but bought at 52-wk high; sector ran up on hype; book ~515 (+10%), trailing stop.",2026-05-27,2026-05-27,1,Book Profit x1,2026-05-27
Vikram Engineering,Hold,watch 110 (listing),"Spectacular results (turnover doubled, profit +150%); watch toward listing level 110 (entry levels per Ramakrishna).",2026-05-27,2026-05-27,1,Hold x1,2026-05-27
Chemcon Speciality Chemicals,Hold,~300-320,Earlier investment idea; March result disappointed (flat bottom line); micro-cap that can rally.,2026-05-27,2026-05-27,1,Hold x1,2026-05-27
Axiscades Technologies,Hold,~500,Hold with trailing stop; restructuring into aerospace; early idea (180-190) with spectacular returns.,2026-05-27,2026-05-27,1,Hold x1,2026-05-27
Crompton Greaves Consumer,Hold,~290 (SL 275),"Consumer durables slow; March one-time loss; stabilizing ~290, stop ~275.",2026-05-27,2026-05-27,1,Hold x1,2026-05-27
Transrail Lighting,Hold,,"Exciting sector; don't exit in post-result weakness, wait for an order/trigger.",2026-05-27,2026-05-27,1,Hold x1,2026-05-27
Central Bank of India,Hold,,Subdued but PSU banks should get a short-term rally.,2026-05-27,2026-05-27,1,Hold x1,2026-05-27
Shree Renuka Sugars,Avoid,,"Sugar = trading sector; regulatory overhang, big returns unlikely now",2026-02-27,2026-05-26,2,"Watch x1, Avoid x1","2026-02-27,2026-05-26"
Amara Raja Energy & Mobility,Add,target 1000+,Buy on every decline; headed toward 1000-plus,2026-05-26,2026-05-26,1,Add x1,2026-05-26
Samvardhana Motherson International,Add,buy on declines,"Near 52-wk high; results discounted, buy only on dips",2026-05-26,2026-05-26,1,Add x1,2026-05-26
Cummins India,Add,"buy on declines (around 5,370)",Strong MNC engineering name; buy on a decline,2026-05-26,2026-05-26,1,Add x1,2026-05-26
Aeroflex Industries,Avoid,could fall to 350-360,"Heavy speculation; book profits, don't buy fresh here",2026-05-26,2026-05-26,1,Avoid x1,2026-05-26
Bajaj Hindusthan Sugar,Avoid,,Same sugar overhang; only a dark-horse counter,2026-05-26,2026-05-26,1,Avoid x1,2026-05-26
Bondada Engineering,Hold,viewer bought at Rs 435 (then ~25% loss),"Hold, do not book the loss; huge order book, solar EPC reviving",2026-04-15,2026-05-25,2,Hold x2,"2026-04-15,2026-05-25"
Sansera Engineering,Accumulate,,"Good wealth-creator; do SIPs, do not buy only at highs",2026-04-15,2026-05-25,2,"Buy x1, Accumulate x1","2026-04-15,2026-05-25"
Radico Khaitan,Accumulate,near 3-yr high ~Rs 3600; trail stop ~Rs 3250-3350,52-wk-high buying is fine; protect profit with a trailing stop-loss,2026-05-25,2026-05-25,1,Accumulate x1,2026-05-25
Hitachi (Hitachi Energy),Accumulate,,Good wealth-creator; SIP-worthy on dips,2026-05-25,2026-05-25,1,Accumulate x1,2026-05-25
Bans (Bansal Wire / Bans),Accumulate,,Named as SIP-worthy long-term wealth-creator,2026-05-25,2026-05-25,1,Accumulate x1,2026-05-25
Waaree Energy,Buy,,Long-term buy; renewables space; 5-yr 100% return plausible,2026-05-25,2026-05-25,1,Buy x1,2026-05-25
Persistent Systems,Hold,,"Hopeful AI play; hold if patient, else shift. Good company.",2026-02-13,2026-05-22,5,"Hold x3, Watch x1, Avoid x1","2026-02-13,2026-02-17,2026-03-18,2026-04-09,2026-05-22"
Dixon Technologies,Hold,,Underperforming short-term but one of the largest white-goods makers; hold.,2026-02-18,2026-05-22,5,"Buy x2, Hold x2, Watch x1","2026-02-18,2026-03-10,2026-03-18,2026-05-13,2026-05-22"
