Stock,Latest action,Price/level,Summary,First suggested,Last suggested,Times suggested (days),Action history,All dates
Ather Energy,Hold,"above 1,000","Recent listing, strong, holding above 1,000; hold.",2026-04-07,2026-05-22,3,"Accumulate x1, Buy x1, Hold x1","2026-04-07,2026-04-16,2026-05-22"
Info Edge (Naukri),Buy on dips,on cool-off,"Good company; buy when it cools off, good breakouts/run-ups.",2026-03-25,2026-05-22,2,"Hold x1, Buy on dips x1","2026-03-25,2026-05-22"
TVS Motors,Add,"~2,195",Add in tick lines; auto-ancillaries/autos turning active again.,2026-04-17,2026-05-22,2,"Buy x1, Add x1","2026-04-17,2026-05-22"
Divi's Labs,Wait/Buy after result,,No big result expectation (flat/slight uptick); GLP-1 angle. Buy after results.,2026-05-22,2026-05-22,1,Wait/Buy after result x1,2026-05-22
Adani Ports,Buy/Add,on declines,"Looks good on every decline; good company, add.",2026-05-22,2026-05-22,1,Buy/Add x1,2026-05-22
Brightcom Group,Avoid,,"""Hyderabad scam company,"" upper-freeze on Cannes news; avoid entirely.",2026-05-22,2026-05-22,1,Avoid x1,2026-05-22
Tenneco Clean Air,Hold,,"Exciting space, ~Rs 25,000 cr m-cap (not cheap); hold/wait for results.",2026-05-22,2026-05-22,1,Hold x1,2026-05-22
TD Power Systems,Buy on dips,on cool-off,"Good company; buy when it cools off, good breakouts/run-ups.",2026-05-22,2026-05-22,1,Buy on dips x1,2026-05-22
Subros,Hold/Add,~730,"Large auto-ancillary, doing extremely well (AC-systems monopoly); hold and add if possible.",2026-05-22,2026-05-22,1,Hold/Add x1,2026-05-22
Honasa Consumer (Mama Earth),Avoid,175-225,"Range-bound 175-225 since listing, result below expectations, weakish; avoid for now.",2026-05-22,2026-05-22,1,Avoid x1,2026-05-22
IIRM Holdings,Watch,~128 (from 80),"Insurance broking; ran 80->128 in 6 months; one to watch, good performance ahead.",2026-05-22,2026-05-22,1,Watch x1,2026-05-22
Apollo Micro Systems,Hold,post-result (+~20%),"Good result, splendid expansion; possible placement ~400 -> further appreciation possible.",2026-02-12,2026-05-21,2,"Avoid x1, Hold x1","2026-02-12,2026-05-21"
MosChip Technologies,Hold,~210 (bought ~230),"Chip-design company, lumpy revenue but a quarter can jump; hold with 1-2 yr view, good returns.",2026-05-21,2026-05-21,1,Hold x1,2026-05-21
Birlasoft,Sell,~360 (rally),"Weak, near 52-wk low, top line flat; exit on rallies, technical bounce to ~360 possible.",2026-05-21,2026-05-21,1,Sell x1,2026-05-21
Yatra Online,Sell,~94-95 (bought 128),"Very average result, travel co; speculative, exit on any rally unless tomorrow's result surprises.",2026-05-21,2026-05-21,1,Sell x1,2026-05-21
Vedanta (demerger),Hold,,Demerged shares already credited; listing date not yet announced - revisit after listing.,2026-05-21,2026-05-21,1,Hold x1,2026-05-21
Varun Beverages (VBL),Accumulate,on dips,"Strong business but stretched valuations; add only on dips/sharp declines, slowly.",2026-05-21,2026-05-21,1,Accumulate x1,2026-05-21
State Bank of India,Buy,near 900,"Start slowly near 900, no rush",2026-02-09,2026-05-20,3,"Buy x2, Accumulate x1","2026-02-09,2026-02-26,2026-05-20"
Sagility India,Hold,above 40,Earlier 'dark horse'; hold long-term,2026-05-20,2026-05-20,1,Hold x1,2026-05-20
Ujjivan Small Finance Bank,Add,,"Good bank-space stock; add carefully, no hurry",2026-05-20,2026-05-20,1,Add x1,2026-05-20
Bank of Maharashtra,Hold,,Hold if already bought; no fresh buy now,2026-05-20,2026-05-20,1,Hold x1,2026-05-20
Asian Hotels (North),Sell,320 to 330,"Exit on rallies; Delhi-centric, litigation",2026-05-20,2026-05-20,1,Sell x1,2026-05-20
Torrent Power,Hold,support ~1450,"Hold; correction likely short, can rebound",2026-05-20,2026-05-20,1,Hold x1,2026-05-20
Azad Engineering,Hold,stop-loss ~1500,Hold with SL ~1500; richly valued PE ~90,2026-05-20,2026-05-20,1,Hold x1,2026-05-20
Inventurus Knowledge Solutions (IKS),Hold,,"Hold; no fresh buying, exit on rallies",2026-05-20,2026-05-20,1,Hold x1,2026-05-20
HG Infra Engineering,Hold,,Infra space could rebound; hold,2026-05-20,2026-05-20,1,Hold x1,2026-05-20
Morepen Laboratories,Sell,,Very weak; exit on rallies,2026-05-20,2026-05-20,1,Sell x1,2026-05-20
Titan Company,Sell,3600 to 3700,"Exit; jewelry best-of-times over, can fall",2026-05-20,2026-05-20,1,Sell x1,2026-05-20
Zaggle Prepaid Ocean Services,Avoid,SL 200; exit 240 to 250,"Avoid; near 52-wk low, margins weak",2026-05-20,2026-05-20,1,Avoid x1,2026-05-20
Steel Strips & Wheels,Hold,,"Hold if held; no fresh buy, fully priced",2026-05-20,2026-05-20,1,Hold x1,2026-05-20
Diamond Power Infrastructure,Avoid,,"Operated counter, PE ~100; would not buy",2026-05-20,2026-05-20,1,Avoid x1,2026-05-20
Finolex Cables,Hold,,"Branded, low-cost maker; hold",2026-05-20,2026-05-20,1,Hold x1,2026-05-20
Hindustan Petroleum (HPCL),Avoid,,Weak numbers; avoid amid volatile crude,2026-05-20,2026-05-20,1,Avoid x1,2026-05-20
Indian Energy Exchange (IEX),Avoid,,"Margins down, spreads to fall; near 52-wk low",2026-05-20,2026-05-20,1,Avoid x1,2026-05-20
Bank of Baroda,Watch,,Wait and watch; treasury-loss risk on yields,2026-05-20,2026-05-20,1,Watch x1,2026-05-20
Deepak Nitrite,Hold,,Short-term weak but can rebound; hold,2026-05-20,2026-05-20,1,Hold x1,2026-05-20
MTAR Technologies,Buy on dips,on corrections,"Top pick of the four 'Technologies'; at a temporary peak, buy only on corrections.",2026-01-30,2026-05-19,4,"Hold x1, Buy x1, Watch x1, Buy on dips x1","2026-01-30,2026-04-08,2026-04-17,2026-05-19"
Netweb Technologies,Accumulate on dips,on dips,Second choice; accumulate on every dip along with MTAR.,2026-02-17,2026-05-19,4,"Buy x2, Hold x1, Accumulate on dips x1","2026-02-17,2026-02-27,2026-03-05,2026-05-19"
Jupiter Wagons,Accumulate,current levels,"Asked alongside Vimta/Finotex for 2-3 year view; covered under accumulate answer, no negative flagged.",2026-02-25,2026-05-19,3,"Avoid x2, Accumulate x1","2026-02-25,2026-04-20,2026-05-19"
Poonawalla Fincorp,Hold,~390,Hold for 3 years; the safer choice vs Edelweiss.,2026-02-12,2026-05-19,2,Hold x2,"2026-02-12,2026-05-19"
Mahindra & Mahindra,Buy,current levels,"Buy immediately, at least a 1-year view.",2026-03-13,2026-05-19,2,"Accumulate x1, Buy x1","2026-03-13,2026-05-19"
Paradeep Phosphates,Hold (cautious),~210,"Fell ~50% from high; fertiliser imports tough; better only if raw-material sourcing right, else likely stays weak.",2026-03-16,2026-05-19,2,"Avoid x1, Hold (cautious) x1","2026-03-16,2026-05-19"
Finotex Chemicals,Buy on dips,~30 (after correction),"Decent March results; ran 24-25 to 32 in 5 days, wait for a correction then buy a little; fully paid-up.",2026-05-19,2026-05-19,1,Buy on dips x1,2026-05-19
VIP Industries,Avoid,,"Weak results, rising luggage competition, near 52-wk low; needs reinvention to regain share.",2026-05-19,2026-05-19,1,Avoid x1,2026-05-19
Blue Star,Add on dips,on dips,Good last-quarter and full-year results; data-centre/new segments opening up. Add slowly on dips.,2026-05-19,2026-05-19,1,Add on dips x1,2026-05-19
Vodafone Idea,Hold,bought at 1.50,"Hold as dark horse with stop-loss; Rs 1L cr funding + SBI package, Birla back in mgmt, but Bharti/Jio pressure.",2026-05-19,2026-05-19,1,Hold x1,2026-05-19
Coromandel International,Hold/Accumulate,"~1,750 (as spoken)","Short-term impact only; long term much better; near 52-wk low, negatives discounted. Hold; accumulate ~1,750.",2026-05-19,2026-05-19,1,Hold/Accumulate x1,2026-05-19
Nazara Technologies,Avoid,,Betting-policy euphoria fizzled; only for high risk-appetite investors.,2026-05-19,2026-05-19,1,Avoid x1,2026-05-19
Edelweiss Financial Services,Hold,~100,Good company (Rashesh Shah a veteran) but treated on-and-off as speculative; Poonawalla safer.,2026-05-19,2026-05-19,1,Hold x1,2026-05-19
Newgen,Hold,above 475,"Stay invested; slight recovery path, sustains above 475; no clear rationale to switch to Kaynes.",2026-05-19,2026-05-19,1,Hold x1,2026-05-19
Garden Reach Shipbuilders (GRSE),Add on dips,"~2,500 (staggered)","Decent March-quarter and full-year results; add slowly on declines around 2,500, ₹100 below, staggered.",2026-05-19,2026-05-19,1,Add on dips x1,2026-05-19
Electrosteel Castings,Hold,~85,A bit weakish currently but hold.,2026-05-19,2026-05-19,1,Hold x1,2026-05-19
Jain Resource Recycle,Avoid,,"Doubts for a 2-3 month bet; profit more than halved; needs deeper study, don't buy just because it fell.",2026-05-19,2026-05-19,1,Avoid x1,2026-05-19
Vedanta,Watch,below 300; 260-280 band,Buy only on dips below 300 / in 260-280; now a dividend play,2026-02-02,2026-05-18,7,"Buy x2, Accumulate x1, Avoid x1, Add x1, Hold x1, Watch x1","2026-02-02,2026-02-20,2026-03-25,2026-03-27,2026-04-13,2026-04-17,2026-05-18"
Suzlon Energy,Hold,54-55,Hold without doubt; stabilizing above 50,2026-02-06,2026-05-18,5,"Hold x3, Buy x2","2026-02-06,2026-02-11,2026-02-17,2026-04-20,2026-05-18"
IRFC,Hold,,Hold temporarily; weak now but stable March results and dividend,2026-02-25,2026-05-18,4,"Hold x2, Buy x1, Watch x1","2026-02-25,2026-02-27,2026-03-02,2026-05-18"
Anantraj,Hold,,Hold; good fundamentals but won't outperform now,2026-02-23,2026-05-18,3,"Hold x2, Buy x1","2026-02-23,2026-04-01,2026-05-18"
KPI Green Energy,Hold,480-500,"Hold; decent March results, can recover to 480-500",2026-02-09,2026-05-18,2,"Add x1, Hold x1","2026-02-09,2026-05-18"
Piramal Pharma,Hold,,Hold; good fundamentals but won't outperform now,2026-02-26,2026-05-18,2,Hold x2,"2026-02-26,2026-05-18"
Brigade Enterprises,Hold,800,Hold; reduce on a technical rally near 800,2026-03-05,2026-05-18,2,Hold x2,"2026-03-05,2026-05-18"
Kalyan Jewellers,Avoid,400,Exit on a technical rally near 400 / 400-plus,2026-04-07,2026-05-18,2,"Accumulate x1, Avoid x1","2026-04-07,2026-05-18"
Reliance Power,Avoid,,Exit on rallies; weak,2026-05-18,2026-05-18,1,Avoid x1,2026-05-18
Salzer Electronics,Avoid,,"Exit/reduce on rallies; peak reached, flat result",2026-05-18,2026-05-18,1,Avoid x1,2026-05-18
Kitex Garments,Avoid,180,Exit at 180 on rallies for re-entry lower,2026-05-18,2026-05-18,1,Avoid x1,2026-05-18
Capstone,Hold,,Hold until results (~24th of the month),2026-05-18,2026-05-18,1,Hold x1,2026-05-18
Belrise Industries,Hold,,"Hold; hyper-speculative activity, protect profits",2026-05-18,2026-05-18,1,Hold x1,2026-05-18
Waaree Renewable Technologies,Avoid,1000,"Exit on any rally to 1,000-plus; continuous weakness",2026-05-18,2026-05-18,1,Avoid x1,2026-05-18
Ipca Laboratories,Watch,,Wait for results (~29th this month) before buying,2026-05-18,2026-05-18,1,Watch x1,2026-05-18
Biocon,Add,Rs 360-380 band,"Buy on any dip into 360-380; succession set up, returns to old glory over time",2026-05-12,2026-05-12,1,Add x1,2026-05-12
MTR,Watch,,His Dec investment idea; results today key to justify the sharp rally,2026-05-12,2026-05-12,1,Watch x1,2026-05-12
Satin Creditcare,Buy,,"Terrific result, profit up over 200%, pan-India presence; might jump",2026-05-12,2026-05-12,1,Buy x1,2026-05-12
Olectra Greentech / JBM Auto,Watch,,EV/energy-transition theme; possible sustained mid-term rally,2026-05-12,2026-05-12,1,Watch x1,2026-05-12
JM Financial,Hold,stabilising near 140; cross 150 for move,Hold; possible surprise move as investment-banker peers jump.,2026-05-11,2026-05-11,1,Hold x1,2026-05-11
CMPDI,Hold,,"Coal India subsidiary; only one result so far, definitely hold.",2026-05-11,2026-05-11,1,Hold x1,2026-05-11
Dhanuka Agritech,Avoid,,Not very positive on agro-chemicals now; monsoon/El Nino risk.,2026-05-11,2026-05-11,1,Avoid x1,2026-05-11
Trent,Hold,,Some revival after touching bottom; hold for now.,2026-05-11,2026-05-11,1,Hold x1,2026-05-11
Chemplast Sanmar,Hold,,"Weak, making losses; don't average, wait for turnaround.",2026-05-11,2026-05-11,1,Hold x1,2026-05-11
Coal India,Hold,,"Recently-listed Coal India subsidiary; got listing hype, pulled back, now recovering slowly. Good product demand.",2026-02-17,2026-05-06,4,"Hold x3, Accumulate x1","2026-02-17,2026-03-27,2026-04-16,2026-05-06"
Rico Auto,Hold,121 (buy price); 116-120 now,"Already ran to 140, now stabilizing; can cross 52-week high but depends on pending March results.",2026-05-06,2026-05-06,1,Hold x1,2026-05-06
Leela Palace (Schloss Bangalore),Hold,415 (buy price); stop loss ~380,Stuck in 400-450 range; real action needs cross of 430-440. One of the better premium hotel stocks.,2026-05-06,2026-05-06,1,Hold x1,2026-05-06
Alu Fluoride (Alufluoride),Watch,"590 (buy price); buy on dips, not at current rate","Has risen a lot; don't add at this rate, accumulate on dips. Good turnaround performance visible.",2026-05-06,2026-05-06,1,Watch x1,2026-05-06
ITC Hotels,Hold,158 (buy price); target 200,Looks poised for 200 but will take time; don't fixate on a hard 200 target.,2026-05-06,2026-05-06,1,Hold x1,2026-05-06
State Bank of India (SBI),Hold,,"Hold for the upcoming dividend, then exit on a 5-10% rally",2026-04-17,2026-04-30,3,"Buy x1, Accumulate x1, Hold x1","2026-04-17,2026-04-28,2026-04-30"
Motilal Oswal Financial Services,Hold,,Hold; no fresh buying; broking stocks range-bound,2026-02-17,2026-04-30,2,"Buy x1, Hold x1","2026-02-17,2026-04-30"
DLF,Hold,,"Hold; good large-cap, will jump medium-to-long term",2026-04-16,2026-04-30,2,Hold x2,"2026-04-16,2026-04-30"
Union Bank of India,Avoid,buy only on sharp post-ex-dividend fall,Don't average; banks bearish; add only on a sharp fall,2026-04-20,2026-04-30,2,"Hold x1, Avoid x1","2026-04-20,2026-04-30"
Adani Total Gas,Hold,600-700 range; strength above 700,"Hold, no rush to add; range-bound till numbers improve",2026-04-30,2026-04-30,1,Hold x1,2026-04-30
Indraprastha Gas (IGL),Avoid,around 165 (near 52-week low),Avoid temporarily until results; APM gas/margin hit,2026-04-30,2026-04-30,1,Avoid x1,2026-04-30
PCBL,Hold,bought 455; trim partially near 330-340,Own/Hold; acquisition commentary is key; trim near 330-340,2026-04-30,2026-04-30,1,Hold x1,2026-04-30
Pidilite Industries,Hold,,"Hold; good large-cap, will jump medium-to-long term",2026-04-30,2026-04-30,1,Hold x1,2026-04-30
Punjab National Bank (PNB),Hold,,"Hold; large-cap, will jump medium-to-long term",2026-04-30,2026-04-30,1,Hold x1,2026-04-30
Astral,Hold,,"Hold; good large-cap, will jump medium-to-long term",2026-04-30,2026-04-30,1,Hold x1,2026-04-30
Time Technoplast,Hold,near 52-week low; recovery potential from ~160-170,Hold/watch; result disappointed; hydrogen-cylinder optionality,2026-04-30,2026-04-30,1,Hold x1,2026-04-30
DCX Systems (DCX India),Sell,exit on ~40% recovery rally,Exit on the recovery rally after this quarter's results,2026-04-30,2026-04-30,1,Sell x1,2026-04-30
Exide Industries,Sell,exit on the recovery rally,Exit on the recovery rally after this quarter's results,2026-04-30,2026-04-30,1,Sell x1,2026-04-30
Tamilnadu Petroproducts (TN Petro),Sell,exit on the recovery rally,Exit on the recovery rally after this quarter's results,2026-04-30,2026-04-30,1,Sell x1,2026-04-30
Larsen & Toubro (L&T),Buy,,Put the modest amount into one name rather than four diversified,2026-03-16,2026-04-29,2,Buy x2,"2026-03-16,2026-04-29"
V.R. Scientific (VIAS),Watch,180 to 230,"Wait for results; range-bound, very high PE",2026-04-29,2026-04-29,1,Watch x1,2026-04-29
Unitech,Avoid,,Do not average a penny stock; large opportunity loss already,2026-04-29,2026-04-29,1,Avoid x1,2026-04-29
Tata Power,Buy,,One of his two explicit long-term power picks,2026-04-29,2026-04-29,1,Buy x1,2026-04-29
Garden Reach Shipbuilders,Buy,,Split a Rs 5 lakh long-term investment equally with Mazagon Dock,2026-04-29,2026-04-29,1,Buy x1,2026-04-29
Mazagon Dock Shipbuilders,Buy,,Split a Rs 5 lakh long-term investment equally with Garden Reach,2026-04-29,2026-04-29,1,Buy x1,2026-04-29
Schneider Electric / Techno Electric / GE Vernova,Add,,Staggered buy on a long-term power/electrification theme,2026-04-28,2026-04-28,1,Add x1,2026-04-28
Sanhi Hotels,Watch,,Wait before buying,2026-04-28,2026-04-28,1,Watch x1,2026-04-28
HDFC,Hold,Rs 600-800,Hold patiently; bought at high rates,2026-04-28,2026-04-28,1,Hold x1,2026-04-28
CG Power / GE Vernova / CAMS / Sirma SGS / Kaynes,Hold,840-850 (CG Power),"Hold; CG Power back at 52-week high, transformer-capacity shortage a tailwind",2026-04-28,2026-04-28,1,Hold x1,2026-04-28
HDFC Bank,Accumulate,~11-12 PE,"Value-unlocking signs (HDFC Sec, AMC, Life); at not even 11-12 PE, will attract buyers.",2026-03-02,2026-04-21,3,"Hold x1, Buy x1, Accumulate x1","2026-03-02,2026-03-19,2026-04-21"
Bandhan Small Cap Fund,Buy,,"Segment leader among small-cap schemes; start investing (also Nippon India, Invesco Small Cap).",2026-04-15,2026-04-21,2,Buy x2,"2026-04-15,2026-04-21"
Syrma SGS,Buy on dip,~900 on post-result correction,Up ~150% from earlier call; high-PE (~86-87) but performing; buy near 900 on any post-result dip.,2026-04-21,2026-04-21,1,Buy on dip x1,2026-04-21
UCO Bank,Hold,bought @ 30,Hold for dividends then exit; not much excitement in small PSU banks.,2026-02-06,2026-04-20,3,Hold x3,"2026-02-06,2026-03-05,2026-04-20"
South Indian Bank,Hold,bought @ 38,Hold for dividends then exit; not much excitement in small PSU banks.,2026-02-13,2026-04-20,3,"Hold x2, Sell x1","2026-02-13,2026-02-25,2026-04-20"
Yes Bank,Hold,,"Upgraded from earlier 'sell' after a good result; not a buy yet, new investors may drive improvement.",2026-04-08,2026-04-20,3,"Sell x1, Switch to SBI x1, Hold x1","2026-04-08,2026-04-17,2026-04-20"
Indian Overseas Bank,Hold,bought @ 40,Hold for dividends then exit; not much excitement in small PSU banks.,2026-02-17,2026-04-20,2,Hold x2,"2026-02-17,2026-04-20"
Orchid Pharma,Hold,,"Non-performer for a year but in Dhanuka Group's hands; dramatic upside can't be ruled out, don't panic.",2026-02-18,2026-04-20,2,"Avoid x1, Hold x1","2026-02-18,2026-04-20"
Adani Enterprises,Hold,"bought @ 2,180",Hold for medium-to-long term; can be an outperformer (holding co); use trailing stop to protect profits.,2026-04-17,2026-04-20,2,"Buy x1, Hold x1","2026-04-17,2026-04-20"
Aditya Birla Money,Buy,,Flagship/investment company in the Kumar Mangalam Birla group; definitely buy.,2026-04-20,2026-04-20,1,Buy x1,2026-04-20
Transformers and Rectifiers (TARIL),Buy,on every decline,Buy on declines with a tight stop-loss; positional / medium-term.,2026-04-20,2026-04-20,1,Buy x1,2026-04-20
JP Power,Hold,stable near 19-20,"Lottery-ticket/dark-horse; has assets but control is the question; decide only after Q4, don't add before.",2026-04-20,2026-04-20,1,Hold x1,2026-04-20
Kirloskar Oil Engines,Buy,on declines,"Buy on declines; good assets + value-unlocking; near 52-week high, possible move to ~2,000 in 3-4 months.",2026-04-20,2026-04-20,1,Buy x1,2026-04-20
HDB Financial Services,Hold,670-690,"Hold 670-690; result in line, low PE (~22); consolidating after result spike.",2026-04-20,2026-04-20,1,Hold x1,2026-04-20
Caption (Capacit'e?),Hold,,"Caller at 500% profit; hold, no need to panic.",2026-04-17,2026-04-17,1,Hold x1,2026-04-17
Tata Motors,Hold,,"Good company; hold, watch under-ownership factor",2026-03-25,2026-04-16,2,Hold x2,"2026-03-25,2026-04-16"
Texmaco Rail,Hold,,"Good company; hold, watch under-ownership factor",2026-04-16,2026-04-16,1,Hold x1,2026-04-16
Birla Corporation,Hold,,"Good company; hold, watch under-ownership factor",2026-04-16,2026-04-16,1,Hold x1,2026-04-16
DCB Bank,Buy,current levels,Can attempt at current levels; private bank undergoing total changes and doing quite well.,2026-02-26,2026-04-15,2,Buy x2,"2026-02-26,2026-04-15"
Manorama Industries,Accumulate,"1,300-1,350","Accumulate slowly; corrected from recent high, consolidating 1,300-1,350, decent results, recent QIP.",2026-03-19,2026-04-15,2,"Buy x1, Accumulate x1","2026-03-19,2026-04-15"
Invesco Small Cap Fund,Buy,,"Rated above Nippon; strong 2-year performance; holdings incl. Max Healthcare, KIMS, InterGlobe, Swiggy.",2026-04-15,2026-04-15,1,Buy x1,2026-04-15
Vyaas,Hold,~200,"Hold, no hurry to sell; consolidating ~200 under new management; wait 3-4 quarters for returns.",2026-04-15,2026-04-15,1,Hold x1,2026-04-15
Nava,Accumulate,~30,"Start accumulating, no fear; doing extremely well, Zambian ops stabilising; stock eased to ~30.",2026-04-15,2026-04-15,1,Accumulate x1,2026-04-15
Shilchar Technologies,Buy,,Excellent choice; nothing to complain about.,2026-04-15,2026-04-15,1,Buy x1,2026-04-15
GMR Airports,Buy,these levels (in weakness),Buy/accumulate in this weakness at these levels.,2026-02-06,2026-04-13,3,"Hold x1, Buy / switch into x1, Buy x1","2026-02-06,2026-04-10,2026-04-13"
Wipro,Avoid,,"Not a contrarian buy; buyback is actually negative, price may sustain short term then must stand on performance.",2026-02-13,2026-04-13,3,"Sell x1, Hold x1, Avoid x1","2026-02-13,2026-02-25,2026-04-13"
JSW Infrastructure,Accumulate,current levels,"Accumulate; emerging among top-five infra players, definitely buy.",2026-03-09,2026-04-13,2,"Hold x1, Accumulate x1","2026-03-09,2026-04-13"
HEG,Hold,540-550,"Hold; add only after Q4 results. Stabilizes ~540-550; electrographite EO duties rationalized, decent quarter likely.",2026-04-07,2026-04-13,2,"Caution x1, Hold x1","2026-04-07,2026-04-13"
Nifty BeES / Bank Nifty BeES,Buy,on dips (e.g. today),Buy on dips; good attractive broad-market exposure; can attempt buying on a correction day like today.,2026-04-13,2026-04-13,1,Buy x1,2026-04-13
LIC of India,Wait,,Bonus not confirmed; buyback news (board meeting maybe today). Wait for reports before deciding.,2026-04-13,2026-04-13,1,Wait x1,2026-04-13
Ola Electric,Buy on dips,buy on dip (good buy was 28-29),"His dark-horse pick but already ran up ~25-30%; buy on dips, not in the run-up.",2026-02-13,2026-04-10,4,"Avoid x1, Buy (medium-term, small/risky) x1, Hold x1, Buy on dips x1","2026-02-13,2026-04-06,2026-04-09,2026-04-10"
IDFC First Bank,Sell / switch out,,"Exit (held 2 yrs, 5% loss) and switch into GMR Airports / Jio Finance.",2026-04-08,2026-04-10,2,"Sell x1, Sell / switch out x1","2026-04-08,2026-04-10"
Tata Motors (Commercial Vehicle / PV),Buy on dips,on declines,On a good uptrend; add on declines for the long term.,2026-04-10,2026-04-10,1,Buy on dips x1,2026-04-10
LG Electronics,Buy (long term),fully priced,Decent but fully-priced; add for long term expecting only ~10-15% CAGR.,2026-04-10,2026-04-10,1,Buy (long term) x1,2026-04-10
Hyundai Motors,Buy (long term),fully priced,Decent but fully-priced; add for long term expecting only ~10-15% CAGR.,2026-04-10,2026-04-10,1,Buy (long term) x1,2026-04-10
SMS Pharmaceuticals,Hold,~425 (high 433),"Good momentum, near all-time high; gave great returns even in weak markets.",2026-04-10,2026-04-10,1,Hold x1,2026-04-10
Vishnu Prakash R Punglia,Sell,on rallies,Company has become erratic; results don't tally; exit on rallies.,2026-04-10,2026-04-10,1,Sell x1,2026-04-10
Jio Finance (Jio Financial),Buy / switch into,,Better than SJVN/IDFC First; will outperform; good switch.,2026-04-10,2026-04-10,1,Buy / switch into x1,2026-04-10
SJVN,Sell / switch out,,"Exit (held 2 yrs, 38% loss) and switch into GMR Airports / Jio Finance.",2026-04-10,2026-04-10,1,Sell / switch out x1,2026-04-10
ETC Transportation Infrastructure,Hold (exit on rally),~198 (from 37),NSE SME; hold for now but exit on any rally; SME space in a pitiable state.,2026-04-10,2026-04-10,1,Hold (exit on rally) x1,2026-04-10
Coforge,Hold,in ~30% loss,Don't average now (results time); average only after analysing results.,2026-02-13,2026-04-09,5,"Hold x3, Watch x1, Avoid x1","2026-02-13,2026-02-17,2026-02-26,2026-03-18,2026-04-09"
SpiceJet,Sell,bought 36; exit on rallies,"Don't average; financially stressed, exit on any rally (only for high-risk appetite).",2026-02-25,2026-04-09,2,"Avoid x1, Sell x1","2026-02-25,2026-04-09"
DSP Large & Mid Cap Fund,Hold,,"SIP; slight underperformance vs peers but not material, continue.",2026-04-09,2026-04-09,1,Hold x1,2026-04-09
SBI Technology Opportunities Fund,Hold,,"IT-heavy thematic; can't give full marks now, revisit after IT earnings.",2026-04-09,2026-04-09,1,Hold x1,2026-04-09
Healthcare Global,Hold,,Not a bad stock; valuations low in this uncertain market.,2026-04-09,2026-04-09,1,Hold x1,2026-04-09
Prostarm Info Systems,Hold,~140 (down from 250),"Check March result; if good hold, if messy exit. Listed <1 year.",2026-04-09,2026-04-09,1,Hold x1,2026-04-09
Tech Mahindra,Hold,"bought 1,740",More resilient than many other tech stocks in this fall.,2026-04-09,2026-04-09,1,Hold x1,2026-04-09
Canara Robeco,Buy,"long-term, ~25,000",Underperformed from listing but worth buying for the long term.,2026-04-09,2026-04-09,1,Buy x1,2026-04-09
MSCI China A 50 Connect Index ETF,Avoid,,Avoid Chinese market (too hard to track); prefers US (Nasdaq 100) for global exposure.,2026-04-09,2026-04-09,1,Avoid x1,2026-04-09
"24,000 Put Option (Nifty)",Hold,,Gave returns; should give decent returns but wait 1-2 more days (premiums high).,2026-04-09,2026-04-09,1,Hold x1,2026-04-09
Karur Vysya Bank,Hold,bought 213,One of the better-performing banks; risen well.,2026-04-09,2026-04-09,1,Hold x1,2026-04-09
Ashoka Buildcon,Hold,,Beaten-down infra; govt (central+state) infra spending supports; average after quarterly commentary.,2026-04-09,2026-04-09,1,Hold x1,2026-04-09
KNR Construction,Hold,,Beaten-down infra; govt (central+state) infra spending supports; average after quarterly commentary.,2026-04-09,2026-04-09,1,Hold x1,2026-04-09
Motilal Oswal Midcap Fund,Sell,,Underperforms; shift to better-performing schemes in the segment.,2026-04-09,2026-04-09,1,Sell x1,2026-04-09
Tata Small Cap Fund,Sell,,Underperforms; shift to better-performing schemes in the segment.,2026-04-09,2026-04-09,1,Sell x1,2026-04-09
