Stock,Latest action,Price/level,Summary,First suggested,Last suggested,Times suggested (days),Action history,All dates
Trident,Sell,exit on rallies (bought ~23),"Valuations high, trade-deal overhang; expensive, book profit on momentum.",2026-02-27,2026-04-08,2,"Avoid x1, Sell x1","2026-02-27,2026-04-08"
NLC India,Buy,,"Good choice; green division doing well, Telugu chairman doing an excellent job.",2026-04-08,2026-04-08,1,Buy x1,2026-04-08
Rainbow Hospitals,Buy,,"More resilient even in this fall; one of the better choices, no doubt.",2026-04-08,2026-04-08,1,Buy x1,2026-04-08
BPCL,Avoid,wait for crude clarity,Not the right time; enter oil-marketing companies only on crude-oil clarity or with risk appetite.,2026-01-29,2026-04-07,2,Avoid x2,"2026-01-29,2026-04-07"
"Vishal Mega Mart (""Walmart"") Retail",Accumulate,on dips,"Add slowly on dips; very strong in tier-2/north & mid-north India, MP; valuations high but stock strong.",2026-04-07,2026-04-07,1,Accumulate x1,2026-04-07
Container Corporation,Hold,exit near ~500 on rally,"Hold for now; semi-monopoly eroding like IRCTC, near 52-wk low; exit on a small rally toward 500.",2026-04-07,2026-04-07,1,Hold x1,2026-04-07
Pidilite,Buy,,"First choice over Lodha; strong brands, consistent business, year-on-year wealth creation.",2026-04-07,2026-04-07,1,Buy x1,2026-04-07
Lodha,Hold/Second choice,,Strong realty company but realty slows in a downturn (enquiries dropping); second to Pidilite.,2026-04-07,2026-04-07,1,Hold/Second choice x1,2026-04-07
Hindustan Copper,Hold,current,"Hold; decent multiplied stock, but recovery will be slow, not immediate; copper/silver momentum changed.",2026-04-07,2026-04-07,1,Hold x1,2026-04-07
NCC (Nagarjuna Construction),Average,~235 (avg cost),"Hold and average; promoters buying on dips, infra to have good days.",2026-04-06,2026-04-06,1,Average x1,2026-04-06
"Asset Management Companies (AMCs, e.g. Nippon Life AMC)",Buy,"current weakness (Nippon ~800, was >1,000)",Buy AMCs in this weakness; they jump with better valuations when bull market returns.,2026-04-06,2026-04-06,1,Buy x1,2026-04-06
SJVN / Suzlon / IRFC,Hold,,"At 38% loss; momentum down, in correction; hold, decent stocks not to be dumped.",2026-04-06,2026-04-06,1,Hold x1,2026-04-06
Tata Steel,Hold,,Hold; worst almost over.,2026-02-09,2026-04-01,2,Hold x2,"2026-02-09,2026-04-01"
Rainbow Children's Medicare (Rainbow Hospitals),Hold,,"No need to panic; even if last quarter slightly weak, doing extremely well; hospital valuations improving, will recover quickly.",2026-04-01,2026-04-01,1,Hold x1,2026-04-01
IRCTC,Hold,~518,"Worst almost over; railway monopoly but single-customer type; stable dividend player, don't expect outperforming gains (PE 25-26).",2026-04-01,2026-04-01,1,Hold x1,2026-04-01
"Nifty 23,000 Put (next series)",Buy,~500 premium,"Buy as portfolio hedge and sit tight one month, like a lottery ticket; premium ~500 shows how bearish the market is.",2026-03-27,2026-03-27,1,Buy x1,2026-03-27
"Bank Nifty 52,000 Put",Buy,,"Take the 52,000 put, shut up and sit; all 14 Bank Nifty constituents were negative.",2026-03-27,2026-03-27,1,Buy x1,2026-03-27
Bajaj Finance,Hold,,Fine; hold long-term.,2026-03-27,2026-03-27,1,Hold x1,2026-03-27
JK Tyre,Hold,,Good company but rising crude is a negative for tyre companies; hold with patience.,2026-03-27,2026-03-27,1,Hold x1,2026-03-27
"Jagan Sai's IPO (parent company that acquired NewMed, Australia)",Apply (IPO),,Company on a growth path; good IPO with good allotment chance in this market.,2026-03-27,2026-03-27,1,Apply (IPO) x1,2026-03-27
Ola (Ola Electric),Sell,,Exit on rallies; not worth a single rupee until you recover the loss.,2026-03-27,2026-03-27,1,Sell x1,2026-03-27
JPL/JTL Infra,Sell,,Exit on rallies.,2026-03-27,2026-03-27,1,Sell x1,2026-03-27
Shakti Pumps,Hold,,One to hold.,2026-03-27,2026-03-27,1,Hold x1,2026-03-27
Networth,Hold,,Hold.,2026-03-27,2026-03-27,1,Hold x1,2026-03-27
"25,000 Call Option (Dec 2026)",Hold,"bought at ~Rs 100, now at loss","Already bought long-duration; market swings 1,000+ pts/week, just wait, no point rethinking now.",2026-03-27,2026-03-27,1,Hold x1,2026-03-27
Nifty Top 10 Equal Weight Index,Buy,,"A better bet in a sell-off; e.g. DSP equal-weight portfolios, for slightly reasonable returns.",2026-03-27,2026-03-27,1,Buy x1,2026-03-27
Indo Farm Equipment,Hold,~118 (vs ~202 buy),Hold; corrected with the market; can reach ~200 over a 1-2 year horizon.,2026-01-30,2026-03-25,2,"Accumulate x1, Hold x1","2026-01-30,2026-03-25"
Mazagon Dock,Add,on dips,Buy-on-dips; add slowly with a long-term horizon; submarine demand coming. Not an immediate multibagger.,2026-02-18,2026-03-25,2,"Hold x1, Add x1","2026-02-18,2026-03-25"
Vishal Mega Mart,Accumulate,near 100,"Accumulate when it comes close to 100; will emerge as a stronger stock but a hype/80-PE stock, not cheap.",2026-02-27,2026-03-25,2,"Watch x1, Accumulate x1","2026-02-27,2026-03-25"
ITD Cementation (Cem India Projects),Hold,,"Hold at ~40% loss; fundamentally strong, good order book; Adani took it over; only infra-sector dullness weighs.",2026-03-25,2026-03-25,1,Hold x1,2026-03-25
HDFC Gold ETF FoF / HDFC Silver ETF FoF,Hold,,"Continue the SIP for the long term; gold/silver/precious metals are a good, important asset class. No doubt.",2026-03-25,2026-03-25,1,Hold x1,2026-03-25
Premier Explosives,Hold,buy on sharp dip,"Hold; resilient/strong. Fresh buying only on a sharp dip - it's a hype stock, don't rush.",2026-03-25,2026-03-25,1,Hold x1,2026-03-25
Linde / Industrial Gases (caller's 'L&B'),Hold,current levels,Hold at current levels even at a loss; one of few cos with ~50%-plus margins; some trading activity.,2026-03-25,2026-03-25,1,Hold x1,2026-03-25
Bharat Coking Coal,Hold,,Hold as of now; not the time to exit (at ~11% loss).,2026-03-25,2026-03-25,1,Hold x1,2026-03-25
Weaker stocks (general),Sell,"near Nifty 24,000","Exit all weaker stocks when markets recover and come closer to the 24,000 level.",2026-03-25,2026-03-25,1,Sell x1,2026-03-25
Nifty BeES (from PF),Avoid,,Risky for PF/retirement money; only with risk appetite and a 5-year-plus horizon; otherwise don't disturb it.,2026-03-25,2026-03-25,1,Avoid x1,2026-03-25
GSPL,Sell,260-280 on rally,"Exit on rallies (at ~43% loss); near 52-week low, hit by Gulf war, weak last-quarter result; sell into a rally to 260-280.",2026-03-25,2026-03-25,1,Sell x1,2026-03-25
Protean eGov Technologies,Avoid,,"Speculative, risky bet as of now",2026-03-24,2026-03-24,1,Avoid x1,2026-03-24
Precision Wires,Accumulate,,Start accumulating at these levels,2026-03-19,2026-03-19,1,Accumulate x1,2026-03-19
L&T Technology Services,Hold,,Hold; exit on relief rally after Q4,2026-03-19,2026-03-19,1,Hold x1,2026-03-19
Cams,Watch,,Wait and watch; not a bad stock but temporarily weak,2026-03-18,2026-03-18,1,Watch x1,2026-03-18
Cyient DLM,Watch,,Wait and watch; check if institutional exit or a bottom,2026-03-18,2026-03-18,1,Watch x1,2026-03-18
Gold,Avoid,Below 5000 USD/oz,Stay away from precious metals for now,2026-03-18,2026-03-18,1,Avoid x1,2026-03-18
Transformers & Rectifiers,Hold,halved from 52-week highs,"Hold; no fresh buying, stock became very speculative",2026-02-12,2026-03-16,2,"Sell x1, Hold x1","2026-02-12,2026-03-16"
Jindal Saw,Accumulate,"bought 314, ~42% down",Long-term holders only can slowly accumulate on promoter buying,2026-03-16,2026-03-16,1,Accumulate x1,2026-03-16
ADSL,Avoid,"bought 180, now ~94-95",Don't average; should have exited in December on weak result,2026-03-16,2026-03-16,1,Avoid x1,2026-03-16
Blue Jet Healthcare,Hold,bought 560,Not a bad stock; average only after market settles,2026-03-16,2026-03-16,1,Hold x1,2026-03-16
UltraTech Cement,Watch,+3% (lead gainer),Cement sector firmer on volume; infra boost and pre-monsoon demand,2026-03-16,2026-03-16,1,Watch x1,2026-03-16
Hindalco,Buy,,Looking much better; large-cap marriage-gift pick,2026-03-16,2026-03-16,1,Buy x1,2026-03-16
Reliance Industries,Accumulate,,Accumulate slowly for the long term on sum-of-the-parts and AI value,2026-02-02,2026-03-13,2,"Add x1, Accumulate x1","2026-02-02,2026-03-13"
Gitanjali Gems / Kingfisher Airlines / Mercator / GVK Power / Lanco / Alliance,Avoid,,Dead/untradeable stocks with no liquidity,2026-03-13,2026-03-13,1,Avoid x1,2026-03-13
SMS Pharma (Fizility),Hold,,"Dark-horse bet; hold if already bought, buy as a dark-horse bet if fresh",2026-03-10,2026-03-10,1,Hold x1,2026-03-10
Asian Paints,Avoid,,Rising crude is a big negative for paints; wait until crude cools,2026-03-10,2026-03-10,1,Avoid x1,2026-03-10
Cupid,Hold,,"Resilient, flat result but rose; operators stronger in the counter",2026-03-10,2026-03-10,1,Hold x1,2026-03-10
Eternal (Zomato),Add,,Can add on dips; now an institutional stock that corrected from highs,2026-03-10,2026-03-10,1,Add x1,2026-03-10
Avantel,Accumulate,below 140,Start accumulating below 140; defence order book improving,2026-02-10,2026-03-09,2,"Avoid x1, Accumulate x1","2026-02-10,2026-03-09"
Krishna Institute of Medical Sciences (KIMS),Buy,,Top pick among hospital stocks for growing pan-India presence,2026-03-09,2026-03-09,1,Buy x1,2026-03-09
Utkarsh Small Finance Bank,Hold,,"No need to sell at this rate, but stay alert",2026-03-09,2026-03-09,1,Hold x1,2026-03-09
DC Infotech and Communication,Avoid,,Low-margin distribution/trading company; don't buy,2026-03-06,2026-03-06,1,Avoid x1,2026-03-06
Sam Metalics,Watch,Buy near 700 (52-week low),Higher-PE stock; buy only on dip to ~700 / 52-week low,2026-03-06,2026-03-06,1,Watch x1,2026-03-06
Zensar Technologies,Hold,,Hold; may take a bit of time,2026-03-05,2026-03-05,1,Hold x1,2026-03-05
Force Motors,Watch,,At highs; wait for a significant correction before buying,2026-03-05,2026-03-05,1,Watch x1,2026-03-05
Old Tamp (exact name unclear in captions),Avoid,,Avoid; sector appears to have peaked,2026-03-05,2026-03-05,1,Avoid x1,2026-03-05
Suven Life Sciences,Watch,,Wait; no need to rush in,2026-03-05,2026-03-05,1,Watch x1,2026-03-05
Jeena Sikho Lifecare,Watch,,"Good results but weak market drags everything; be careful, follow technicals",2026-03-04,2026-03-04,1,Watch x1,2026-03-04
Sai Life Sciences,Hold,near 52-week high,"Confident of ~25-30% more upside; hold in profit with trailing stop, buy fresh only on a correction",2026-03-02,2026-03-02,1,Hold x1,2026-03-02
HMA Agro,Avoid,around Rs 23; consider only below 20,Avoid for now; Gulf-facing exports vulnerable in this conflict,2026-03-02,2026-03-02,1,Avoid x1,2026-03-02
Sergility,Hold,around Rs 36-37,Dark-horse outsourced-services play at 52-week low; hold for now,2026-03-02,2026-03-02,1,Hold x1,2026-03-02
National Fertilizers (NFL),Hold,around Rs 70; exit on rallies near Rs 100,"Weak chart; seasonal result; hold, don't sell, exit on rallies near 100",2026-03-02,2026-03-02,1,Hold x1,2026-03-02
RR Kabel,Buy,on small declines; support 1420-1430,"Good demand; buy on any small decline, don't chase near 52-week high",2026-03-02,2026-03-02,1,Buy x1,2026-03-02
HBL Engineering,Sell,,Lower-top/lower-bottom since failing 1000; sell on rallies,2026-02-09,2026-02-27,2,"Buy x1, Sell x1","2026-02-09,2026-02-27"
L&T Finance,Sell,,Sell/exit on rallies; gold-lending tailwind fading,2026-02-24,2026-02-27,2,"Add x1, Sell x1","2026-02-24,2026-02-27"
Polycab,Buy,,Good selection; start in tranches,2026-02-27,2026-02-27,1,Buy x1,2026-02-27
Bharti Airtel,Buy,,Good selection; start in tranches,2026-02-27,2026-02-27,1,Buy x1,2026-02-27
Vyash (ex-Sequent Scientific),Hold,,"Lot of churning post-merger; hold, no fresh buying",2026-02-27,2026-02-27,1,Hold x1,2026-02-27
KIMS Hospital,Hold,,Hospital stocks on better footing; hold,2026-02-27,2026-02-27,1,Hold x1,2026-02-27
JK Enterprises,Hold,,"Defense 'noise' not justified by results; hold, await Q result",2026-02-27,2026-02-27,1,Hold x1,2026-02-27
Saint DLM,Hold,,Hype to reality; top line stabilizing; hold,2026-02-27,2026-02-27,1,Hold x1,2026-02-27
LIC Housing Finance,Hold,,Dull but steady long-term/high-dividend; no multibagger,2026-02-27,2026-02-27,1,Hold x1,2026-02-27
HCC (Hindustan Construction),Sell,,Speculative counter; exit on rallies,2026-02-27,2026-02-27,1,Sell x1,2026-02-27
Malu Paper,Avoid,,Loss-making; avoid; only large paper names,2026-02-27,2026-02-27,1,Avoid x1,2026-02-27
Balaji Amines,Watch,,"Near 52-wk low, last result flat; watch",2026-02-27,2026-02-27,1,Watch x1,2026-02-27
Sterlite Technologies,Watch,,Data-center theme; dark-horse bet,2026-02-27,2026-02-27,1,Watch x1,2026-02-27
KRN Heat Exchanger,Watch,,Niche cooling/refrigeration; near 52-wk high,2026-02-27,2026-02-27,1,Watch x1,2026-02-27
NHPC,Hold,,Hold for dividend; target rates far off,2026-02-27,2026-02-27,1,Hold x1,2026-02-27
Lemon Tree Hotels,Hold,,"Hold through Q4 results, then decide",2026-02-09,2026-02-26,2,Hold x2,"2026-02-09,2026-02-26"
Shilpa Medicare,Hold,,Hold; one of better oncology names,2026-02-26,2026-02-26,1,Hold x1,2026-02-26
Waaree Energies,Buy,,Buy long-term (2-3 yr); watch US export fine print,2026-02-26,2026-02-26,1,Buy x1,2026-02-26
Vansal Pumps,Hold,,"Hold; if Q4 good, exit on recovery to 450-500",2026-02-26,2026-02-26,1,Hold x1,2026-02-26
Larsen & Toubro,Buy,,Part of well-chosen long-term basket,2026-02-26,2026-02-26,1,Buy x1,2026-02-26
Jio Financial Services,Buy,,Part of well-chosen long-term basket,2026-02-26,2026-02-26,1,Buy x1,2026-02-26
Dr. Reddy's Laboratories,Buy,,Part of well-chosen long-term basket,2026-02-26,2026-02-26,1,Buy x1,2026-02-26
Aditya Birla Fashion and Retail (ABFRL),Hold,,Hold for the large-group angle,2026-02-26,2026-02-26,1,Hold x1,2026-02-26
Orient Technologies,Hold,,Don't sell; doing something in infra,2026-02-26,2026-02-26,1,Hold x1,2026-02-26
Aavas Financiers,Watch,,Wait and watch; no rush to buy,2026-02-26,2026-02-26,1,Watch x1,2026-02-26
India Shelter Finance,Avoid,,Steady but won't deliver outperforming gains,2026-02-26,2026-02-26,1,Avoid x1,2026-02-26
Afcons Infrastructure,Hold,,Hold long term; attractive valuation near 52-week low,2026-02-09,2026-02-25,2,Hold x2,"2026-02-09,2026-02-25"
Aditya Birla Fashion & Retail (ABFRL),Hold,,Not a bad stock; brands; recovers when retailing improves,2026-02-25,2026-02-25,1,Hold x1,2026-02-25
Motherson Sumi Wiring (MSUMI),Hold,,Hold; caller at breakeven,2026-02-25,2026-02-25,1,Hold x1,2026-02-25
Eris Lifesciences,Buy,,Buy for long term only; value after correction,2026-02-25,2026-02-25,1,Buy x1,2026-02-25
Laxmi Organics,Avoid,Rs 273 (caller's price),Weak stock; not worth even at this price,2026-02-25,2026-02-25,1,Avoid x1,2026-02-25
Hexaware Technology,Avoid,,Avoidable; exit on rallies,2026-02-25,2026-02-25,1,Avoid x1,2026-02-25
HDFC Life,Hold,,Hold; caller at 28% profit,2026-02-25,2026-02-25,1,Hold x1,2026-02-25
Sagility,Hold,,Hold per last result; corrected from ~54-55 to 42-43,2026-02-24,2026-02-24,1,Hold x1,2026-02-24
Stallion Fluoro Chemicals,Avoid,,Operated counter; don't buy fresh at this price,2026-02-23,2026-02-23,1,Avoid x1,2026-02-23
Hitech Pipes,Avoid,,Avoid; exit on rallies,2026-02-23,2026-02-23,1,Avoid x1,2026-02-23
Sezzle India,Accumulate,,Accumulate from current levels for the long term; can give decent returns.,2026-02-20,2026-02-20,1,Accumulate x1,2026-02-20
PFC,Buy,,"Good dividend-yield bet as an FD alternative, alongside NTPC.",2026-02-20,2026-02-20,1,Buy x1,2026-02-20
PNB,Add,,Large dividend payer; add on a pullback for dividend yield.,2026-02-20,2026-02-20,1,Add x1,2026-02-20
Kotak Mahindra Bank,Buy,,"Contrarian buy; good management, fundamentals and nationwide franchise.",2026-02-20,2026-02-20,1,Buy x1,2026-02-20
WPIL (Worthington Pumps),Hold,450-500 (upside target),"Good niche engineering company; slow and steady, can go back up to 450-500. Hold.",2026-02-20,2026-02-20,1,Hold x1,2026-02-20
Newjaisa (News & Soft),Avoid,,Don't chase; sustains only with follow-up buying. Mandatory stop-loss above 600.,2026-02-20,2026-02-20,1,Avoid x1,2026-02-20
GRSE (Garden Reach Shipbuilders),Hold,2400-2500,Hold; becoming attractive at current levels,2026-02-18,2026-02-18,1,Hold x1,2026-02-18
RateGain Travel,Hold,700-800,Hold cautiously; watch margins/acquisition,2026-02-18,2026-02-18,1,Hold x1,2026-02-18
PFC (Power Finance Corporation),Accumulate,,Accumulate on every decline,2026-02-18,2026-02-18,1,Accumulate x1,2026-02-18
BlueStone Jewellery,Avoid,,Avoid; exit on rallies,2026-02-18,2026-02-18,1,Avoid x1,2026-02-18
Raymond Lifestyle,Hold,,Hold; exit on rallies,2026-02-18,2026-02-18,1,Hold x1,2026-02-18
Sammaan Capital,Watch,145-148,Speculative bet only,2026-02-18,2026-02-18,1,Watch x1,2026-02-18
HUDCO,Watch,210-215,Buy only for dividend; limited upside,2026-02-18,2026-02-18,1,Watch x1,2026-02-18
Kaynes Technology,Watch,4000,Wait one more quarter for fresh buying,2026-02-18,2026-02-18,1,Watch x1,2026-02-18
Quality Walls,Buy,22-23,"Buy nearer 22-23, in March",2026-02-18,2026-02-18,1,Buy x1,2026-02-18
Anup Engineering,Hold,,Hold; low-liquidity caution,2026-02-18,2026-02-18,1,Hold x1,2026-02-18
Talbros Automotive,Hold,~280-300,"One of the better auto-ancillary names, decent results",2026-02-17,2026-02-17,1,Hold x1,2026-02-17
Senco Gold,Hold,320-330 base; can attempt 400,Eye-popping Dec result + precious-metals rally,2026-02-17,2026-02-17,1,Hold x1,2026-02-17
TVS Supply Chain Solutions,Buy,buy on dip to 107-108,"Turnaround result, new high likely shortly",2026-02-17,2026-02-17,1,Buy x1,2026-02-17
Sharath Industries,Hold,~170,Former dark horse; controlled/operated stock,2026-02-17,2026-02-17,1,Hold x1,2026-02-17
Tilaknagar Industries,Avoid,,"Poor recent results, promoter pledging; wait and see",2026-02-17,2026-02-17,1,Avoid x1,2026-02-17
Divi's Laboratories,Hold,,Bought near 52-week low; large pharma name,2026-02-17,2026-02-17,1,Hold x1,2026-02-17
News & Soft (Nucleus Software / News & Soft),Hold,,Fell with IT; nothing wrong company-specific,2026-02-17,2026-02-17,1,Hold x1,2026-02-17
Hindustan Aeronautics,Hold,,Monopoly PSU; correction is a buying opportunity,2026-02-17,2026-02-17,1,Hold x1,2026-02-17
Usha Martin,Avoid,,No fresh buying; book some profits,2026-02-09,2026-02-13,2,"Watch x1, Avoid x1","2026-02-09,2026-02-13"
Kaynes Technologies,Avoid,,Exit on rallies; relief rallies not holding,2026-02-13,2026-02-13,1,Avoid x1,2026-02-13
Marksons Pharma,Avoid,200,Exit on rallies; weak December result,2026-02-13,2026-02-13,1,Avoid x1,2026-02-13
Amara Raja Energy,Hold,,"Hold; transformative capex stage, fundamentally strong",2026-02-13,2026-02-13,1,Hold x1,2026-02-13
Satvik Green Energy,Hold,,"Hold; recently listed, needs time",2026-02-13,2026-02-13,1,Hold x1,2026-02-13
HPL Electric,Hold,,"Hold; recently listed, needs time",2026-02-13,2026-02-13,1,Hold x1,2026-02-13
Reliance Infrastructure,Avoid,,Dark-horse holding/implementation company; news rallies fizzle,2026-02-13,2026-02-13,1,Avoid x1,2026-02-13
Jammu & Kashmir Bank,Sell,115-117,Partial exit; best of its time likely over,2026-02-13,2026-02-13,1,Sell x1,2026-02-13
Bell Rice Industries,Hold,,"Buy only on declines; if held, trailing stop and hold",2026-02-13,2026-02-13,1,Hold x1,2026-02-13
Poly Medicure,Hold,1580-1600,Hold; flagship med-equipment company,2026-02-13,2026-02-13,1,Hold x1,2026-02-13
REC,Hold,,"Hold; don't sell, P/E ~5 and high dividend",2026-02-13,2026-02-13,1,Hold x1,2026-02-13
Vikran Engineering,Watch,75-76,No buy now; enter ~75-76 after a further ~15% fall,2026-02-13,2026-02-13,1,Watch x1,2026-02-13
JSW Energy,Add,,Add and hold; one of the better energy plays,2026-02-12,2026-02-12,1,Add x1,2026-02-12
Narayana Hrudayalaya,Buy,,Buy after results (13th),2026-02-12,2026-02-12,1,Buy x1,2026-02-12
HFCL,Hold,,Hold; transforming into a defense company,2026-02-12,2026-02-12,1,Hold x1,2026-02-12
Syngene International,Sell,,Exit on rallies; very weak,2026-02-12,2026-02-12,1,Sell x1,2026-02-12
Quess Corp,Hold,,"High debt is working capital, no concern",2026-02-12,2026-02-12,1,Hold x1,2026-02-12
CCL Products,Accumulate,930-940,Accumulate on a modest dip,2026-02-12,2026-02-12,1,Accumulate x1,2026-02-12
Canfin Homes,Hold,,"Stay in Canfin, don't shift to RBL/AU",2026-02-12,2026-02-12,1,Hold x1,2026-02-12
DB Realty (Valor Estate),Avoid,,Speculative only; prefer frontline realty,2026-02-12,2026-02-12,1,Avoid x1,2026-02-12
Nifty 26000 monthly call option,Hold,180,"Hold but trim above 25,900",2026-02-12,2026-02-12,1,Hold x1,2026-02-12
ONGC,Hold,trim near 310-320,Hold; dividend stock near 52-week high,2026-02-11,2026-02-11,1,Hold x1,2026-02-11
Maruti Suzuki,Accumulate,"closer to 15,000; support 14,600-700","Accumulate slowly on dips toward 15,000",2026-02-11,2026-02-11,1,Accumulate x1,2026-02-11
Healthcare Global Enterprises,Buy,~600 (consider after ex-rights),Long-term buy only; better to enter after ex-rights,2026-02-11,2026-02-11,1,Buy x1,2026-02-11
Electronics Mart India,Avoid,exit even on rally toward 189,"Avoid; weak bottom line, only a retailer",2026-02-11,2026-02-11,1,Avoid x1,2026-02-11
PTC Engineering,Avoid,"buy only on cross above 1,000",Avoid for now; lower-top lower-bottom pattern,2026-02-11,2026-02-11,1,Avoid x1,2026-02-11
RBL Bank,Avoid,exit near 340,"Hold but exit on bounce; narrow band 300-340, no immediate move to old 400+ highs.",2026-02-10,2026-02-10,1,Avoid x1,2026-02-10
Nifty ETF,Buy,,Safest route if you can't bear individual-stock volatility (vs large-caps).,2026-02-10,2026-02-10,1,Buy x1,2026-02-10
Lokesh Machines,Hold,200-plus after March,"Hold, don't shift to Avantel yet; check result, may go 200+ after March then shift.",2026-02-10,2026-02-10,1,Hold x1,2026-02-10
PPL Pharma,Sell,,Switch from PPL Pharma to Laurus Labs - no doubt.,2026-02-10,2026-02-10,1,Sell x1,2026-02-10
Sequent Scientific,Hold,,Hold; first post-name-change quarterly given optimistically; good long-term returns.,2026-02-10,2026-02-10,1,Hold x1,2026-02-10
Nippon India Small Cap Fund,Buy,,Continue SIP; performing nicely.,2026-02-10,2026-02-10,1,Buy x1,2026-02-10
Kotak Flexi Cap Fund,Buy,,Continue SIP; performing nicely.,2026-02-10,2026-02-10,1,Buy x1,2026-02-10
HDFC Large and Mid Cap Fund,Buy,,Continue SIP; sometimes underperforms ICICI Pru/Motilal Oswal Large&Mid but good long-run.,2026-02-10,2026-02-10,1,Buy x1,2026-02-10
Mirae Asset Large and Mid Cap Fund,Buy,,Continue SIP; sometimes underperforms peers but good long-run returns.,2026-02-10,2026-02-10,1,Buy x1,2026-02-10
IRB InvIT,Buy,near 52-week high; ~13% yield,"Buy; ~13% dividend, parent toll revenue up 6500->7500 cr YoY; five toll assets + a HAM asset.",2026-02-10,2026-02-10,1,Buy x1,2026-02-10
Maithan Alloys,Hold,,"Hold if you have the time horizon; undervalued, deploys cash into equities; else switch to MF.",2026-02-10,2026-02-10,1,Hold x1,2026-02-10
DCX Systems,Hold,,"Hold and wait for the 12th board-meeting (Dec) result; turnaround would help, else may retest 52-wk low.",2026-02-10,2026-02-10,1,Hold x1,2026-02-10
Aditya Birla Capital,Hold,near 52-week high,"Hold, don't book profit; group flagship in capital markets, near 52-week high - keep a trailing stop and let it run.",2026-02-10,2026-02-10,1,Hold x1,2026-02-10
IGIL,Hold,,"Hold long-term; good margins, US-India trade deal a positive; range-bound with short/medium-term global impacts.",2026-02-10,2026-02-10,1,Hold x1,2026-02-10
Rolex Rings,Buy,near 110,"Buy near 110; auto-ancillary, stock split done, liquidity up",2026-02-09,2026-02-09,1,Buy x1,2026-02-09
Prime Focus,Avoid,~280 (current),Avoid at current levels after 200% 6-month run,2026-02-09,2026-02-09,1,Avoid x1,2026-02-09
Advanced Agrolife,Watch,~130 (current),"Wait another quarter; weak Dec result, micro-cap",2026-02-09,2026-02-09,1,Watch x1,2026-02-09
SBFC Finance,Buy,,"Buy for short/short-medium term only, not long term",2026-02-09,2026-02-09,1,Buy x1,2026-02-09
Indegene,Hold,,"Hold; weak-looking but high potential, not cheap",2026-02-09,2026-02-09,1,Hold x1,2026-02-09
Tata Capital,Accumulate,"320-330 (accumulate), 425-430 (target)",Buy/accumulate; medium-term target 425-430,2026-02-09,2026-02-09,1,Accumulate x1,2026-02-09
Eternal,Avoid,~138 (current),Avoid as investment; now a trading/F&O bet,2026-02-09,2026-02-09,1,Avoid x1,2026-02-09
Transformers and Rectifiers India (TARIL),Avoid,exit on rallies around 310-320,Even good Dec results couldn't lift the stock; exit on rallies,2026-02-06,2026-02-06,1,Avoid x1,2026-02-06
Hitachi Energy,Buy,buy on dips,Record results (+90% net profit); buy on every dip,2026-02-06,2026-02-06,1,Buy x1,2026-02-06
Standard Glass Lining / Standard Engineering,Hold,range 120-140,Range-bound 120-140 absent game-changing news,2026-02-06,2026-02-06,1,Hold x1,2026-02-06
Bharti Hexacom,Hold,,One of the 3-yr outperformers; exit only on rallies if needed,2026-02-06,2026-02-06,1,Hold x1,2026-02-06
Windlas Biotech,Buy,,Buy at attractive valuation; stock-picker's paradise now,2026-02-02,2026-02-02,1,Buy x1,2026-02-02
ICICI Prudential Nifty 200 Fund / Bandhan Infrastructure Fund,Avoid,,Switch out of broader-market and infra themes into diversified funds,2026-02-02,2026-02-02,1,Avoid x1,2026-02-02
IREDA,Hold,,"Hold; IPO froth cooled, watch NPA recovery",2026-01-30,2026-01-30,1,Hold x1,2026-01-30
Morepen Labs,Hold,,Hold; demerger of medical-devices business could add momentum,2026-01-30,2026-01-30,1,Hold x1,2026-01-30
Somany Ceramics,Hold,,"Flat results; near 52-week low, hold for post-Budget infra push",2026-01-29,2026-01-29,1,Hold x1,2026-01-29
Nippon Gold BeES,Avoid,,Don't take a gold loan to invest; use savings only,2026-01-29,2026-01-29,1,Avoid x1,2026-01-29
HG Infra,Hold,,Hold all infra ahead of Budget; Dec results awaited,2026-01-29,2026-01-29,1,Hold x1,2026-01-29
Gold ETF (Tata Gold ETF / Nippon Gold BeES / ICICI Pru Gold),Accumulate,,Continue gold SIP/ETF; weak dollar and central-bank buying support gold,2026-01-28,2026-01-28,1,Accumulate x1,2026-01-28
